id,displayName,description,specialization,isMembershipLimitedToOwners,visibility,isArchived,createdDateTime
ca17c48c-8b98-4f9a-920c-44ffe2dddf73,ESI0927 - SANTO ANTONIO DE JESUS/BA,ESI0927 - SANTO ANTONIO DE JESUS/BA,educationClass,False,hiddenMembership,False,2021-01-14T23:28:56.859Z
2fa7b66e-83b8-4758-94ca-570c7ef6cb0e,GEE0573 - SANTO ANTONIO DE JESUS/BA,GEE0573 - SANTO ANTONIO DE JESUS/BA,educationClass,False,hiddenMembership,False,2021-01-14T23:28:57.023Z
09786e68-4b03-4d48-9115-343b3b448c6b,EDI0916 - SANTO ANTONIO DE JESUS/BA,EDI0916 - SANTO ANTONIO DE JESUS/BA,educationClass,False,hiddenMembership,False,2021-01-14T23:28:57.461Z
8af987d5-92d2-4c41-a96e-36d2ba7e3e46,GPI_QUI,Ticket#47368812,educationStandard,False,private,False,2021-01-15T14:54:50.72Z
04d3e24d-871b-4894-a4d1-481401e5e6f1,Práticas Laboratório,Ticket#47368812,educationStandard,False,private,False,2021-01-15T15:03:34.385Z
916bc4f4-58c0-4f9b-813c-e1b6b881d900,GT Práticas,Ticket#47368812,educationStandard,False,private,False,2021-01-15T15:15:27.444Z
0981e4c8-49e4-4bab-b66c-a7b83205222d,Test Next Event,Test Next Event,educationClass,False,hiddenMembership,True,2021-01-15T17:14:02.634Z
41fe2f2e-2c45-4c09-be10-7ad271856e74,Tutores EAD Polo Brusque,"Sala para avisos, recados, trocas de informações, entre outros.",educationStaff,False,private,False,2021-01-18T17:07:53.258Z
ca329802-8b2e-441e-9765-8023d926c684,ADP0703 - Porto Alegre/RS,ADP0703 - Porto Alegre/RS,educationClass,False,hiddenMembership,False,2021-01-19T03:29:27.365Z
7c18617e-f4df-436b-9815-273c1a82fd32,FLC0330RIA - Seg/Not - Brasil,FLC0330RIA - Seg/Not - Brasil,educationClass,False,hiddenMembership,True,2021-01-19T03:29:27.903Z
a3f36246-78a6-48b3-89b7-060957ad24fa,FLC0357GSA - Qua/Not - Brasil,FLC0357GSA - Qua/Not - Brasil,educationClass,True,hiddenMembership,True,2021-01-19T03:29:28.289Z
8ee9e64a-6550-4bd2-80b8-29f1b271b522,Conselho Superior,Conselho Superior,educationClass,False,hiddenMembership,False,2021-01-19T19:58:58.279Z
